period,region,kfe_index,kfe_yoy_pct,ykke_index,ykke_yoy_pct
2026-01,Türkiye,211.8,27.7,293.6,34.2
2026-01,İstanbul,196.9,28.7,272.8,38.1
2026-01,Ankara,233.3,31.7,316.7,36.9
2026-01,İzmir,206.1,29.0,296.0,38.5
